title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
Wii Sports    ,Wii,82.65m,41.36m,29.02m,3.77m,8.51m
Super Mario Bros.    ,NES,40.24m,29.08m,3.58m,6.81m,0.77m
Mario Kart Wii    ,Wii,35.98m,15.91m,12.92m,3.80m,3.35m
Wii Sports Resort    ,Wii,32.90m,15.61m,10.99m,3.29m,3.02m
Pokémon Red / Green / Blue Version    ,GB,31.37m,11.27m,8.89m,10.22m,1.00m
Tetris    ,GB,30.26m,23.20m,2.26m,4.22m,0.58m
New Super Mario Bros.    ,DS,29.85m,11.28m,9.19m,6.50m,2.89m
Wii Play    ,Wii,28.92m,13.96m,9.18m,2.93m,2.85m
New Super Mario Bros. Wii    ,Wii,28.51m,14.53m,7.01m,4.70m,2.27m
Duck Hunt    ,NES,28.31m,26.93m,0.63m,0.28m,0.47m
Nintendogs    ,DS,24.68m,9.05m,10.96m,1.93m,2.74m
Mario Kart DS    ,DS,23.26m,9.71m,7.51m,4.13m,1.91m
Pokémon Gold / Silver Version    ,GB,23.10m,9.00m,6.18m,7.20m,0.71m
Wii Fit    ,Wii,22.70m,8.92m,8.03m,3.60m,2.15m
Kinect Adventures!    ,X360,22.10m,15.09m,4.97m,0.24m,1.81m
Wii Fit Plus    ,Wii,21.81m,9.01m,8.51m,2.53m,1.76m
Grand Theft Auto: San Andreas    ,PS2,20.81m,9.43m,0.40m,0.41m,10.57m
Super Mario World    ,SNES,20.61m,12.78m,3.75m,3.54m,0.55m
Grand Theft Auto V    ,PS3,20.32m,6.37m,9.85m,0.99m,3.12m
Brain Age: Train Your Brain in Minutes a Day    ,DS,20.16m,4.74m,9.21m,4.16m,2.04m
Grand Theft Auto V    ,PS4,19.39m,6.06m,9.71m,0.60m,3.02m
Pokémon Diamond / Pearl Version    ,DS,18.25m,6.38m,4.47m,6.04m,1.36m
Super Mario Land    ,GB,18.14m,10.83m,2.71m,4.18m,0.42m
Super Mario Bros. 3    ,NES,17.28m,9.54m,3.44m,3.84m,0.46m
Grand Theft Auto: Vice City    ,PS2,16.15m,8.41m,5.49m,0.47m,1.78m
Pokémon X/Y    ,3DS,16.13m,5.68m,5.06m,4.40m,0.99m
Grand Theft Auto V    ,X360,15.86m,9.06m,5.33m,0.06m,1.42m
Pokémon Ruby / Sapphire Version    ,GBA,15.85m,6.06m,3.90m,5.38m,0.50m
Mario Kart 7    ,3DS,15.49m,6.03m,5.35m,3.00m,1.11m
Brain Age 2: More Training in Minutes a Day    ,DS,15.29m,3.43m,5.36m,5.32m,1.18m
Pokémon Black / White Version    ,DS,15.18m,5.51m,3.20m,5.66m,0.80m
Pokémon Sun/Moon    ,3DS,15.17m,6.02m,4.34m,3.82m,0.99m
Call of Duty: Black Ops 3    ,PS4,15.09m,6.18m,6.05m,0.41m,2.44m
Gran Turismo 3: A-Spec    ,PS2,14.98m,6.85m,5.09m,1.87m,1.16m
Call of Duty: Modern Warfare 3    ,X360,14.82m,9.07m,4.29m,0.13m,1.33m
Call of Duty: Black Ops    ,X360,14.74m,9.76m,3.73m,0.11m,1.14m
Pokémon Yellow: Special Pikachu Edition    ,GB,14.64m,5.89m,5.04m,3.12m,0.59m
Red Dead Redemption 2    ,PS4,13.94m,5.26m,6.21m,0.21m,2.26m
Call of Duty: Black Ops II    ,X360,13.86m,8.27m,4.32m,0.07m,1.20m
Call of Duty: Black Ops II    ,PS3,13.80m,4.99m,5.88m,0.65m,2.28m
Call of Duty: Modern Warfare 2    ,X360,13.53m,8.54m,3.63m,0.08m,1.28m
Call of Duty: WWII    ,PS4,13.40m,4.67m,6.21m,0.40m,2.12m
Call of Duty: Modern Warfare 3    ,PS3,13.35m,5.54m,5.78m,0.49m,1.54m
Grand Theft Auto III    ,PS2,13.10m,6.99m,4.51m,0.30m,1.30m
Mario Kart 8 Deluxe    ,NS,13.05m,5.05m,4.98m,2.11m,0.91m
Super Smash Bros. Brawl    ,Wii,12.91m,6.64m,2.57m,2.67m,1.03m
Pokémon Omega Ruby/Pokémon Alpha Sapphire    ,3DS,12.73m,4.78m,3.98m,3.15m,0.82m
Call of Duty: Black Ops    ,PS3,12.67m,6.01m,4.40m,0.48m,1.78m
Animal Crossing: Wild World    ,DS,12.14m,2.50m,3.46m,5.33m,0.86m
Halo 3    ,X360,12.13m,7.97m,2.81m,0.13m,1.21m
Super Mario 64    ,N64,11.89m,6.91m,2.85m,1.91m,0.23m
FIFA 18    ,PS4,11.80m,1.27m,8.64m,0.15m,1.73m
Pokémon Heart Gold / Soul Silver Version    ,DS,11.78m,4.34m,2.72m,3.96m,0.76m
Super Mario Odyssey    ,NS,11.71m,5.10m,3.75m,2.02m,0.84m
Gran Turismo 4    ,PS2,11.66m,3.01m,0.01m,1.10m,7.53m
Super Mario 3D Land    ,3DS,11.56m,5.10m,3.46m,2.15m,0.85m
Super Mario Galaxy    ,Wii,11.40m,6.06m,3.38m,1.20m,0.76m
New Super Mario Bros. 2    ,3DS,11.33m,3.95m,4.07m,2.59m,0.72m
Super Mario Land 2: 6 Golden Coins    ,GB,11.18m,6.16m,2.04m,2.69m,0.29m
Grand Theft Auto IV    ,X360,11.09m,6.80m,3.11m,0.14m,1.04m
Gran Turismo    ,PS,10.95m,4.02m,3.87m,2.54m,0.52m
FIFA 17    ,PS4,10.94m,1.26m,7.95m,0.12m,1.61m
Animal Crossing: New Leaf    ,3DS,10.90m,2.46m,3.06m,4.90m,0.48m
Gran Turismo 5    ,PS3,10.75m,2.96m,4.87m,0.81m,2.10m
Call of Duty: Modern Warfare 2    ,PS3,10.61m,4.99m,3.66m,0.38m,1.59m
Grand Theft Auto IV    ,PS3,10.57m,4.79m,3.73m,0.44m,1.62m
Super Mario All-Stars    ,SNES,10.55m,5.99m,2.15m,2.12m,0.29m
Pokémon FireRed / LeafGreen Version    ,GBA,10.49m,4.34m,2.65m,3.15m,0.35m
Call of Duty: Ghosts    ,X360,10.41m,6.76m,2.64m,0.04m,0.98m
Uncharted 4: A Thief's End    ,PS4,10.33m,4.49m,3.93m,0.21m,1.70m
Just Dance 3    ,Wii,10.14m,5.95m,3.13m,N/A,1.06m
Call of Duty: Ghosts    ,PS3,10.13m,4.11m,4.01m,0.39m,1.62m
Halo: Reach    ,X360,9.97m,7.08m,2.01m,0.08m,0.80m
Halo 4    ,X360,9.96m,6.72m,2.36m,0.04m,0.83m
Mario Kart 64    ,N64,9.87m,5.55m,1.94m,2.23m,0.15m
Minecraft    ,X360,9.82m,5.96m,2.94m,0.02m,0.90m
Final Fantasy VII    ,PS,9.72m,3.01m,2.47m,3.28m,0.96m
Gran Turismo 2    ,PS,9.49m,3.88m,3.42m,1.69m,0.50m
The Legend of Zelda: Breath of the Wild    ,NS,9.46m,4.54m,2.94m,1.26m,0.73m
Just Dance 2    ,Wii,9.45m,5.80m,2.86m,0.01m,0.77m
Call of Duty 4: Modern Warfare    ,X360,9.41m,5.98m,2.39m,0.13m,0.91m
Call of Duty: Black Ops IIII    ,PS4,9.32m,4.05m,3.28m,0.50m,1.49m
Donkey Kong Country    ,SNES,9.30m,4.36m,1.71m,3.00m,0.23m
