title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Grand Theft Auto: San Andreas,PS2,action,2004-10-26,Rockstar Games,Rockstar North,20.81,9.43,0.4,0.41,10.57
Grand Theft Auto V,PS3,action,2013-09-17,Rockstar Games,Rockstar North,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,PS4,action,2014-11-18,Rockstar Games,Rockstar North,19.39,6.06,9.71,0.6,3.02
Grand Theft Auto: Vice City,PS2,action,2002-10-28,Rockstar Games,Rockstar North,16.15,8.41,5.49,0.47,1.78
Grand Theft Auto V,X360,action,2013-09-17,Rockstar Games,Rockstar North,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto III,PS2,action,2001-10-23,Rockstar Games,DMA Design,13.1,6.99,4.51,0.3,1.3
Grand Theft Auto IV,X360,action,2008-04-29,Rockstar Games,Rockstar North,11.09,6.8,3.11,0.14,1.04
Grand Theft Auto IV,PS3,action,2008-04-29,Rockstar Games,Rockstar North,10.57,4.79,3.73,0.44,1.62
Uncharted 4: A Thief's End,PS4,action,2016-05-10,Sony Interactive Entertainment,Naughty Dog,10.33,4.49,3.93,0.21,1.7
Grand Theft Auto V,XOne,action,2014-11-18,Rockstar Games,Rockstar North,8.72,4.7,3.25,0.01,0.76
Grand Theft Auto: Liberty City Stories,PSP,action,2005-10-25,Rockstar Games,Rockstar Leeds,7.72,2.9,2.83,0.24,1.74
Uncharted 3: Drake's Deception,PS3,action,2011-11-01,Sony Computer Entertainment,Naughty Dog,6.84,2.77,2.81,0.19,1.06
Uncharted 2: Among Thieves,PS3,action,2009-10-13,Sony Computer Entertainment,Naughty Dog,6.74,3.28,2.22,0.21,1.02
Red Dead Redemption,PS3,action,2011-10-11,Rockstar Games,Rockstar San Diego,6.57,2.82,2.58,0.17,1
Red Dead Redemption,X360,action,2010-05-18,Rockstar Games,Rockstar San Diego,6.5,3.77,2.03,0.09,0.6
Driver,PS,action,1999-06-30,GT Interactive,Reflections Interactive,6.27,3.11,2.8,0.02,0.33
God of War (2018),PS4,action,2018-04-20,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15,2.83,2.17,0.13,1.02
Metal Gear Solid 2: Sons of Liberty,PS2,action,2001-11-12,Konami,Konami Computer Entertainment Japan,6.05,2.45,2.01,0.87,0.72
Metal Gear Solid,PS,action,1998-10-21,Konami,Konami Computer Entertainment Japan,6.03,3.18,1.83,0.78,0.24
Metal Gear Solid 4: Guns of the Patriots,PS3,action,2008-06-12,Konami,Kojima Productions,6,2.63,1.72,0.83,0.81
Resident Evil 2,PS,action,1998-01-21,Capcom,Capcom,5.82,1.88,1.47,2.02,0.45
Uncharted: The Nathan Drake Collection,PS4,action,2015-10-07,Sony Computer Entertainment,Bluepoint Games,5.7,2.55,2.11,0.1,0.94
LEGO Star Wars: The Complete Saga,Wii,action,2007-11-06,LucasArts,Traveller's Tales,5.66,3.57,1.57,NA,0.52
Assassin's Creed II,PS3,action,2009-11-17,Ubisoft,Ubisoft Montreal,5.57,2.54,1.95,0.21,0.86
Assassin's Creed,X360,action,2007-11-13,Ubisoft,Ubisoft Montreal,5.55,3.28,1.64,0.07,0.56
Batman: Arkham City,PS3,action,2011-10-18,Warner Bros. Interactive,Rocksteady Studios,5.54,2.72,1.89,0.11,0.82
Assassin's Creed II,X360,action,2009-11-17,Ubisoft,Ubisoft Montreal,5.3,3.14,1.55,0.08,0.52
Resident Evil 5,PS3,action,2009-03-13,Capcom,Capcom,5.1,1.96,1.42,1.08,0.64
Grand Theft Auto: Vice City Stories,PSP,action,2006-10-31,Rockstar Games,Rockstar Leeds,5.08,1.7,2.03,0.16,1.19
Resident Evil,PS,action,1996-03-30,Capcom,Capcom,5.05,2.05,1.16,1.11,0.73
Uncharted: Drake's Fortune,PS3,action,2007-11-16,Sony Computer Entertainment,Naughty Dog,4.97,2.32,1.73,0.12,0.8
Assassin's Creed,PS3,action,2007-11-13,Ubisoft,Ubisoft Montreal,4.83,1.91,2.01,0.09,0.82
God of War III,PS3,action,2010-03-16,Sony Computer Entertainment,SCEA Santa Monica Studio,4.81,2.74,1.36,0.12,0.6
LEGO Star Wars: The Complete Saga,DS,action,2007-11-06,LucasArts,Traveller's Tales,4.77,2.83,1.49,NA,0.45
Batman: Arkham City,X360,action,2011-10-18,Warner Bros. Interactive,Rocksteady Studios,4.75,2.99,1.28,0.04,0.44
Driver 2,PS,action,2000-11-13,Atari,Reflections Interactive,4.73,2.36,2.1,0.02,0.25
Monster Hunter: World,PS4,action,2018-01-26,Capcom,Capcom,4.67,1.03,1.06,2.17,0.42
The Lord of the Rings: The Two Towers,PS2,action,2002-10-21,Electronic Arts,Stormfront Studios,4.67,1.94,1.95,0.08,0.7
Tomb Raider,PS,action,1996-11-14,Eidos Interactive,Core Design Ltd.,4.63,2.29,1.97,0.13,0.24
Spider-Man: The Movie,PS2,action,2002-04-15,Activision,Treyarch,4.48,2.71,1.51,0.03,0.23
God of War,PS2,action,2005-03-22,Sony Computer Entertainment,SCEA Santa Monica Studio,4.45,2.71,1.29,0.02,0.43
Batman: Arkham Asylum,PS3,action,2009-08-25,Eidos Interactive,Rocksteady Studios,4.28,2.26,1.33,0.07,0.63
Assassin's Creed: Revelations,PS3,action,2011-11-15,Ubisoft,Ubisoft Montreal,4.23,1.41,2.03,0.1,0.69
Metal Gear Solid 3: Snake Eater,PS2,action,2004-11-17,Konami,KCEJ / Kojima Productions,4.23,1.46,0,0.83,1.93
Assassin's Creed: Revelations,X360,action,2011-11-15,Ubisoft,Ubisoft Montreal,4.22,2.28,1.47,0.04,0.44
Frogger,PS,action,1997-09-30,Hasbro Interactive,Millenium Interactive,4.16,3.79,0.27,NA,0.11
Assassin's Creed: Unity,PS4,action,2014-11-11,Ubisoft,Ubisoft Montreal,4.14,1.25,2.16,0.09,0.65
Batman: Arkham Knight,PS4,action,2015-06-23,Warner Bros. Interactive,Rocksteady Studios,4.11,1.65,1.68,0.11,0.66
God of War II,PS2,action,2007-03-13,Sony Computer Entertainment,SCEA Santa Monica Studio,4.07,2.32,0.04,0.04,1.67
Assassin's Creed Origins,PS4,action,2017-10-27,Ubisoft,Ubisoft Montreal,4.06,1.22,2.11,0.11,0.63
Far Cry 5,PS4,action,2018-03-27,Ubisoft,Ubisoft,3.95,1.44,1.73,0.15,0.62
Resident Evil Director's Cut,PS,action,1997-01-01,Capcom,Capcom,3.77,1.82,1.24,0.47,0.25
Harry Potter and the Sorcerer's Stone,PS,action,2001-11-15,Electronic Arts,Argonaut Games,3.73,1.37,2,0.14,0.22
Resident Evil 3: Nemesis,PS,action,1999-11-11,Capcom,Capcom,3.72,1.3,0.77,1.54,0.11
Resident Evil 4,PS2,action,2005-10-25,Capcom,Capcom Production Studio 4,3.62,2.08,0.83,0.46,0.25
Luigi's Mansion,GC,action,2001-11-17,Nintendo,Nintendo EAD,3.6,2.38,0.67,0.46,0.1
Assassin's Creed Syndicate,PS4,action,2015-10-23,Ubisoft,Ubisoft Quebec,3.6,0.9,2.06,0.08,0.55
Assassin's Creed: Unity,XOne,action,2014-11-11,Ubisoft,Ubisoft Montreal,3.58,2.34,0.9,0,0.34
Monster Hunter Generations,3DS,action,2016-07-15,Capcom,Capcom,3.56,0.42,0.26,2.82,0.07
Grand Theft Auto: Liberty City Stories,PS2,action,2006-06-06,Rockstar Games,Rockstar Leeds,3.54,1.56,1.4,0.07,0.5
The Getaway,PS2,action,2003-01-19,Sony Computer Entertainment,Team Soho,3.54,1.23,1.77,0.05,0.49
Batman: Arkham Asylum,X360,action,2009-08-25,Eidos Interactive,Rocksteady Studios,3.54,2.24,0.95,0.02,0.33
Assassin's Creed: Brotherhood,X360,action,2010-11-16,Ubisoft,Ubisoft Montreal,3.53,2.87,0.39,0.03,0.25
LEGO Star Wars: The Video Game,PS2,action,2005-04-02,Eidos Interactive,Traveller's Tales,3.53,1.98,1.14,0.01,0.41
Resident Evil 5,X360,action,2009-03-13,Capcom,Capcom,3.53,2.13,0.93,0.12,0.34
Rugrats in Paris: The Movie,PS,action,2000-10-29,THQ,Avalanche Software,3.52,1.96,1.33,NA,0.23
Kung Fu,NES,action,1985-10-01,Nintendo,Irem Software Engineering,3.5,1.64,0.38,1.42,0.06
Grand Theft Auto 2,PS,action,1999-10-25,Rockstar Games,DMA Design,3.42,1.13,2.07,NA,0.22
Spider-Man 2,PS2,action,2004-06-28,Activision,Treyarch,3.41,1.75,1.2,0.02,0.43
Watch Dogs 2,PS4,action,2016-11-15,Ubisoft,Ubisoft,3.36,0.98,1.74,0.12,0.52
Star Wars Episode III: Revenge of the Sith,PS2,action,2005-05-04,LucasArts,The Collective,3.32,1.47,1.39,0.03,0.43
Resident Evil VII: Biohazard,PS4,action,2017-01-24,Capcom,Capcom,3.31,0.88,1.56,0.41,0.46
The Lord of the Rings: The Return of the King,PS2,action,2003-11-05,Electronic Arts,"Hypnos Entertainment, Inc.",3.28,1.5,1.28,0.05,0.46
True Crime: Streets of LA,PS2,action,2003-11-03,Activision,Luxoflux,3.27,1.89,1.05,0.02,0.31
God of War: Chains of Olympus,PSP,action,2008-03-04,Sony Computer Entertainment,Ready at Dawn,3.19,1.48,1,0.04,0.66
Middle-Earth: Shadow of Mordor,PS4,action,2014-09-30,Warner Bros. Interactive Entertainment,Monolith Productions,3.19,1.03,1.6,0.05,0.51
Enter the Matrix,PS2,action,2003-05-14,Atari,Shiny Entertainment,3.18,1.78,1.12,0.09,0.19
Spider-Man,PS,action,2000-08-30,Activision,Neversoft Entertainment,3.13,1.7,1.25,0.02,0.16
Resident Evil 6,PS3,action,2012-10-02,Capcom,Capcom,3.12,0.88,0.97,0.88,0.39
Saints Row 2,X360,action,2008-10-14,THQ,Volition Inc.,3.07,1.98,0.79,0.02,0.28
